"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2021-02-01",433751,1562,41998,18572,1766,93536,706466,67516458,344975,4025,6086,26097146,120200,56,313394628,1507545
"2021-01-31",432189,2059,41934,18968,2171,95013,704700,67171483,224593,4019,6291,25976946,119367,56,311887083,1725724
"2021-01-30",430130,2982,41872,19130,3147,97561,702529,66946890,232299,4016,6329,25857579,148824,56,310161359,2139579
"2021-01-29",427148,3503,41758,19609,2835,101003,699382,66714591,284168,4011,6483,25708755,167111,56,308021780,1955101
"2021-01-28",423645,4011,41588,20113,3500,104303,696547,66430423,269667,4000,6642,25541644,157306,56,306066679,1936761
"2021-01-27",419634,4077,41402,20497,4134,107444,693047,66160756,244553,3985,6806,25384338,153985,56,304129918,1626393
"2021-01-26",415557,3734,41205,20573,3705,108960,688913,65916203,377450,3976,6832,25230353,146448,56,302503525,1733799
"2021-01-25",411823,1593,41028,20875,2515,109938,685208,65538753,217006,3949,6857,25083905,133454,56,300769726,1630391
"2021-01-24",410230,1944,40931,21168,1909,110628,682693,65321747,223447,3943,6989,24950451,144234,56,299139335,1792892
"2021-01-23",408286,3591,40853,21657,6652,113609,680784,65098300,274547,3941,7110,24806217,177118,56,297346443,1990072
"2021-01-22",404695,3980,40687,22008,4325,116264,674132,64823753,284392,3919,7236,24629099,190915,56,295356371,2022028
"2021-01-21",400715,3878,40481,22309,4053,119949,669807,64539361,267695,3910,7370,24438184,186275,56,293334343,1933682
"2021-01-20",396837,4409,40340,22834,5105,122754,665754,64271666,342450,3897,7564,24251909,189203,56,291400661,1851350
"2021-01-19",392428,2141,40103,23054,3206,123910,660649,63929216,329847,3883,7688,24062706,146626,56,289549311,1596863
"2021-01-18",390287,1395,39973,23226,2839,123848,657443,63599369,192825,3865,7772,23916080,150792,56,287952448,1771268
"2021-01-17",388892,2053,39864,23432,2167,124387,654604,63406544,277842,3860,7797,23765288,187218,56,286181180,1916756
"2021-01-16",386839,3709,39797,23524,4039,126139,652437,63128702,226342,3858,7755,23578070,218085,56,284264424,2116224
"2021-01-15",383130,3679,39626,23593,4000,127235,648398,62902360,410997,3845,7772,23359985,246454,56,282148200,2309884
"2021-01-14",379451,3915,39418,23891,3792,128947,644398,62491363,305894,3829,7878,23113531,225616,56,279838316,2048899
"2021-01-13",375536,4087,39248,23857,5312,130391,640606,62185469,237885,3811,7902,22887915,224491,56,277789417,1827396
"2021-01-12",371449,4064,39049,23881,4657,131326,635294,61947584,443993,3796,7879,22663424,218020,56,275962021,1944234
"2021-01-11",367385,1733,38823,23501,3045,129793,630637,61503591,210610,3773,7786,22445404,195255,56,274017787,1695767
"2021-01-10",365652,2068,38706,23640,2413,129223,627592,61292981,270382,3771,7878,22250149,228732,56,272322020,2051661
"2021-01-09",363584,3537,38607,23718,6683,130781,625179,61022599,290183,3767,7791,22021417,269368,56,270270359,2137700
"2021-01-08",360047,3780,38432,23912,4705,131921,618496,60732416,320284,3756,7908,21752049,295121,56,268132659,2146223
"2021-01-07",356267,4079,38236,23821,5312,132370,613791,60412132,246578,3748,7900,21456928,272043,56,265986436,1928262
"2021-01-06",352188,3902,38064,23708,6607,132474,608479,60165554,263088,3739,7946,21184885,250184,56,264058174,1650493
"2021-01-05",348286,3484,37841,23509,4290,131195,601872,59902466,480256,3718,7976,20934701,219075,56,262407681,1721007
"2021-01-04",344802,1547,37586,23435,3892,128210,597582,59422210,148614,3692,7930,20715626,179571,56,260686674,1512611
"2021-01-03",343255,1455,37433,23243,2226,125562,593690,59273596,215583,3688,7939,20536055,208457,56,259174063,1444257
"2021-01-02",341800,2406,37309,23133,3051,123614,591464,59058013,221792,3684,7910,20327598,280318,56,257729806,1934350
"2021-01-01",339394,2592,37196,23255,4550,125047,588413,58836221,192048,3681,7990,20047280,182906,56,255795456,1545537
"2020-12-31",336802,3297,37066,23097,4348,125423,583863,58644173,262855,3672,8004,19864374,226246,56,254249919,1797220
"2020-12-30",333505,3900,36855,23069,5514,125220,579515,58381318,215107,3653,7930,19638128,229496,56,252452699,1583713
"2020-12-29",329605,3289,36583,22838,5261,124686,574001,58166211,201698,3635,7885,19408632,199679,56,250868986,1343514
"2020-12-28",326316,1490,36308,22579,3723,121202,568740,57964513,309721,3612,7948,19208953,164127,56,249525472,1332122
"2020-12-27",324826,1397,36164,22447,2302,118720,565017,57654792,204288,3604,7878,19044826,153540,56,248193350,1395240
"2020-12-26",323429,1426,36038,22373,2292,117344,562715,57450504,214555,3593,7809,18891286,190594,56,246798110,1974298
"2020-12-25",322003,1553,35945,22418,2047,118948,560423,57235949,170690,3592,7831,18700692,126796,56,244823812,1568040
"2020-12-24",320450,2958,35899,22623,4289,120200,558376,57065259,322117,3587,7792,18573896,206684,56,243255772,2031894
"2020-12-23",317492,3393,35695,22489,4795,119463,554087,56743142,304962,3579,7819,18367212,224526,56,241223878,1791481
"2020-12-22",314099,3137,35428,22213,4567,117777,549292,56438180,268046,3554,7830,18142686,193008,56,239432397,1770133
"2020-12-21",310962,1480,35178,21884,3111,115358,544725,56170134,439796,3539,7783,17949678,179406,56,237662264,1974590
"2020-12-20",309482,1668,35030,21763,2382,113601,541614,55730338,249266,3530,7695,17770272,197494,56,235687674,1821629
"2020-12-19",307814,2708,34949,21692,3429,113914,539232,55481072,200763,3529,7786,17572778,204873,56,233866045,1859539
"2020-12-18",305106,2866,34716,21745,5214,113955,535803,55280309,450795,3519,7786,17367905,241786,56,232006506,2193466
"2020-12-17",302240,3465,34485,21912,5167,114492,530589,54829514,246432,3504,7848,17126119,242970,56,229813040,1912697
"2020-12-16",298775,3453,34237,21943,4776,113257,525422,54583082,303846,3488,7782,16883149,234288,56,227900343,1839996
"2020-12-15",295322,2924,33958,21897,4430,112816,520646,54279236,316712,3460,7702,16648861,193218,56,226060347,1833138
"2020-12-14",292398,1357,33693,21458,3461,110573,516216,53962524,456078,3442,7699,16455643,193286,56,224227209,2010951
"2020-12-13",291041,1501,33494,21230,2314,109298,512755,53506446,299810,3432,7535,16262357,187251,56,222216258,1827310
"2020-12-12",289540,2497,33419,21198,3789,108461,510441,53206636,226203,3430,7515,16075106,226904,56,220388948,1919896
"2020-12-11",287043,2747,33237,21012,5411,108101,506652,52980433,350441,3424,7488,15848202,236933,56,218469052,1969509
"2020-12-10",284296,3132,32919,21024,4450,107300,501241,52629992,311589,3394,7444,15611269,220846,56,216499543,1967578
"2020-12-09",281164,3169,32720,20903,5300,106671,496791,52318403,378319,3376,7621,15390423,216728,56,214531965,1832545
"2020-12-08",277995,2680,32406,20475,4410,104637,491491,51940084,292335,3359,7251,15173695,217844,56,212699420,1690914
"2020-12-07",275315,1291,32120,20097,3461,102122,487081,51647749,268980,3328,7067,14955851,181897,56,211008506,1653269
"2020-12-06",274024,1163,31946,20145,2311,101501,483620,51378769,299693,3322,7095,14773954,182580,56,209355237,1675779
"2020-12-05",272861,2486,31831,19947,3513,101192,481309,51079076,356781,3321,7006,14591374,219070,56,207679458,2302086
"2020-12-04",270375,2563,31608,19853,4654,101309,477796,50722295,310521,3305,7018,14372304,230313,56,205377372,1918739
"2020-12-03",267812,2822,31276,19714,5369,100746,473142,50411774,306223,3280,6875,14141991,216271,56,203458633,1904020
"2020-12-02",264990,2811,31038,19687,5238,100327,467773,50105551,-658774,3252,6855,13925720,203429,56,201554613,1587969
"2020-12-01",262179,2489,30749,19302,4916,98814,462535,50764325,263699,3223,6651,13722291,181183,56,199966644,1494046
"2020-11-30",259690,1037,30469,18807,3394,96134,457619,50500626,344231,3205,6520,13541108,150031,56,198472598,1520240
"2020-11-29",258653,825,30274,18437,2429,93357,454225,50156395,226788,3184,6245,13391077,137254,56,196952358,1337135
"2020-11-28",257828,1243,30109,18249,3485,91762,451796,49929607,324413,3179,6148,13253823,151469,56,195615223,1675224
"2020-11-27",256585,1404,29858,18056,3418,89913,448311,49605194,384580,3171,6028,13102354,198874,56,193939999,1970528
"2020-11-26",255181,1392,29673,18019,2333,90564,444893,49220614,179941,3153,5986,12903480,129764,56,191969471,1467611
"2020-11-25",253789,2281,29540,17738,4538,90043,442560,49040673,394165,3147,5987,12773716,188496,56,190501860,1881059
"2020-11-24",251508,2091,29245,17317,4685,88132,438022,48646508,360586,3123,5626,12585220,166503,56,188620801,1873837
"2020-11-23",249417,853,28990,17060,2835,85945,433337,48285922,331207,3106,5455,12418717,154696,56,186746964,1671011
"2020-11-22",248564,923,28828,16411,2291,83882,430502,47954715,373855,3094,5233,12264021,154188,56,185075953,1818793
"2020-11-21",247641,1551,28693,16264,3375,83346,428211,47580860,376533,3087,5103,12109833,186385,56,183257160,2140465
"2020-11-20",246090,1910,28472,16146,3903,82318,424836,47204327,448167,3078,5058,11923448,197164,56,181116695,2004886
"2020-11-19",244180,2010,28216,15759,4456,80669,420933,46756160,324389,3052,4860,11726284,187932,56,179111809,1845354
"2020-11-18",242170,1885,27989,15557,4352,79478,416477,46431771,346915,3024,4699,11538352,168220,56,177266455,1701006
"2020-11-17",240285,1553,27681,15009,3887,77047,412125,46084856,300498,3004,4379,11370132,159826,56,175565449,1634272
"2020-11-16",238732,607,27437,14471,2907,73320,408238,45784358,249458,2988,4156,11210306,149977,56,173931177,1484630
"2020-11-15",238125,712,27269,13849,1868,70202,405331,45534900,400351,2975,3939,11060329,147062,56,172446547,1626437
"2020-11-14",237413,1353,27172,13491,3468,69588,403463,45134549,300446,2972,3945,10913267,167726,56,170820110,1785889
"2020-11-13",236060,1301,26997,13280,3673,68585,399995,44834103,331974,2967,3766,10745541,174633,56,169034221,1742559
"2020-11-12",234759,1112,26803,12917,3562,67236,396322,44502129,271550,2954,3622,10570908,157542,56,167291662,1607551
"2020-11-11",233647,1577,26584,12626,3281,65549,392760,44230579,283243,2947,3365,10413366,149333,56,165684111,1503560
"2020-11-10",232070,1358,26335,12057,4070,62119,389479,43947336,203377,2922,3202,10264033,135569,56,164180551,1386936
"2020-11-09",230712,577,26087,11636,2176,59342,385409,43743959,283666,2907,3111,10128464,118403,56,162793615,1314380
"2020-11-08",230135,513,25819,11223,1467,56942,383233,43460293,239635,2900,2977,10010061,112445,56,161479235,1266058
"2020-11-07",229622,1125,25721,11215,2341,56037,381766,43220658,357869,2898,2947,9897616,132113,56,160213177,1546164
"2020-11-06",228497,1185,25498,11213,3121,55005,379425,42862789,314445,2885,2850,9765503,129990,56,158667013,1772955
"2020-11-05",227312,1154,25276,11050,2553,53380,376304,42548344,302427,2872,2876,9635513,119023,56,156894058,1561062
"2020-11-04",226158,1131,25041,10892,3107,52166,373751,42245917,202598,2853,2832,9516490,105996,56,155332996,1318451
"2020-11-03",225027,1517,24796,10538,3135,50509,370644,42043319,255848,2833,2734,9410494,119949,56,154014545,1269152
"2020-11-02",223510,475,24560,9957,1399,48750,367509,41787471,283444,2809,2633,9290545,83454,56,152745393,1238898
"2020-11-01",223035,410,24457,9665,1166,47615,366110,41504027,228603,2797,2553,9207091,141974,56,151506495,1160138
"2020-10-31",222625,958,24375,9613,2116,47486,364944,41275424,325765,2786,2502,9065117,91293,56,150346357,1473444
"2020-10-30",221667,947,24230,9550,2403,46880,362828,40949659,206695,2776,2477,8973824,97942,56,148872913,1423126
"2020-10-29",220720,1060,24082,9320,2321,46191,360425,40742964,317094,2760,2399,8875882,89365,56,147449787,1453174
"2020-10-28",219660,1047,23883,9133,2461,45214,358104,40425870,265933,2744,2354,8786517,79700,56,145996613,1150428
"2020-10-27",218613,922,23701,8985,2290,44391,355643,40159937,220640,2719,2283,8706817,72255,56,144846185,1150455
"2020-10-26",217691,397,23542,8946,1697,42988,353353,39939297,268034,2703,2300,8634562,63430,56,143695730,1131572
"2020-10-25",217294,391,23420,8590,1076,41883,351656,39671263,268680,2693,2176,8571132,64471,56,142564158,1222362
"2020-10-24",216903,896,23356,8675,1822,42087,350580,39402583,259771,2691,2230,8506661,83792,56,141341796,1370239
"2020-10-23",216007,949,23221,8342,2801,41614,348758,39142812,304853,2679,2180,8422869,82575,56,139971557,1444382
"2020-10-22",215058,1094,23018,8180,2229,41114,345957,38837959,301777,2641,2147,8340294,72273,56,138527175,1305768
"2020-10-21",213964,1051,22855,8291,2399,40397,343728,38536182,201552,2622,2083,8268021,62856,56,137221407,1055928
"2020-10-20",212913,833,22662,8206,2309,39391,341329,38334630,201519,2593,2042,8205165,60574,56,136165479,1034354
"2020-10-19",212080,443,22475,8063,1605,37976,339020,38133111,347469,2577,1804,8144591,57650,56,135131125,1100768
"2020-10-18",211637,405,22391,7383,813,36536,337415,37785642,193978,2557,1762,8086941,47957,56,134030357,1074271
"2020-10-17",211232,780,22320,7466,1546,37474,336602,37591664,260557,2553,1791,8038984,57675,56,132956086,1329098
"2020-10-16",210452,891,22202,7333,1866,37479,335056,37331107,272444,2547,1740,7981309,68505,56,131626988,1247307
"2020-10-15",209561,928,22051,7303,2010,37423,333190,37058663,263255,2531,1773,7912804,63641,56,130379681,1182695
"2020-10-14",208633,801,21889,7236,2437,37184,331180,36795408,144110,2516,1775,7849163,57240,56,129196986,1114421
"2020-10-13",207832,718,21735,7104,2058,36171,328743,36651298,210401,2485,1757,7791923,46914,56,128082565,1085144
"2020-10-12",207114,284,21629,6860,1104,35143,326685,36440897,213302,2464,1663,7745009,43248,56,126997421,950483
"2020-10-11",206830,472,21553,6749,983,34610,325581,36227595,220736,2454,1646,7701761,46723,56,126046938,1106595
"2020-10-10",206358,690,21512,6752,1485,34700,324598,36006859,296196,2451,1667,7655038,57543,56,124940343,1299743
"2020-10-09",205668,914,21388,6775,1736,34973,323113,35710663,282790,2437,1651,7597495,57085,56,123640600,1275712
"2020-10-08",204754,979,21217,6694,2134,34446,321377,35427873,6923,2427,1638,7540410,55308,56,122364888,1225426
"2020-10-07",203775,929,21112,6591,2138,33565,319243,35420950,232274,2410,1650,7485102,51216,56,121139462,1081509
"2020-10-06",202846,613,20973,6490,-752,32726,317105,35188676,185103,2388,1609,7433886,38846,56,120057953,954557
"2020-10-05",202233,331,20812,6292,1447,31426,317857,35003573,243549,2370,1514,7395040,37752,56,119103396,937566
"2020-10-04",201902,380,20729,6056,663,30063,316410,34760024,298235,2362,1485,7357288,38165,56,118165830,1026748
"2020-10-03",201522,738,20686,6073,1088,30209,315747,34461789,182570,2358,1501,7319123,50874,56,117139082,1126528
"2020-10-02",200784,842,20612,6195,1443,30880,314659,34279219,311588,2348,1534,7268249,49427,56,116012554,1216123
"2020-10-01",199942,862,20492,6262,1757,30942,313216,33967631,214834,2334,1543,7218822,45720,56,114796431,1016972
"2020-09-30",199080,1064,20390,6241,1618,31021,311459,33752797,226976,2319,1510,7173102,44909,56,113779459,976422
"2020-09-29",198016,724,20247,6172,1673,30601,309841,33525821,203930,2298,1497,7128193,36766,56,112803037,992038
"2020-09-28",197292,246,20121,6048,1181,29696,308168,33321891,258394,2285,1513,7091427,35376,56,111810999,991825
"2020-09-27",197046,310,20050,6170,613,29579,306987,33063497,193116,2277,1511,7056051,34990,56,110819174,932751
"2020-09-26",196736,873,20002,6143,1214,29670,306374,32870381,260732,2272,1509,7021061,47227,56,109886423,1136490
"2020-09-25",195863,847,19919,6220,1333,29891,305160,32609649,290503,2264,1508,6973834,55278,56,108749933,1156284
"2020-09-24",195016,938,19555,6274,1484,30159,303827,32319146,254550,2177,1560,6918556,43341,56,107593649,1010190
"2020-09-23",194078,1156,19452,6200,1454,30015,302343,32064596,223960,2154,1545,6875215,39498,56,106583459,1013367
"2020-09-22",192922,859,19324,6188,1534,29645,300889,31840636,258099,2130,1558,6835717,48986,56,105570092,917213
"2020-09-21",192063,281,19353,6138,1064,28849,299355,31582537,146752,2116,1570,6786731,39162,56,104652879,750351
"2020-09-20",191782,327,19281,6100,525,28724,298291,31435785,265956,2112,1595,6747569,35533,56,103902528,994272
"2020-09-19",191455,747,19243,6163,1051,29185,297766,31169829,279068,2111,1577,6712036,45668,56,102908256,1169942
"2020-09-18",190708,901,19163,6175,1423,29651,296715,30890761,277046,2107,1608,6666368,46889,56,101738314,1094695
"2020-09-17",189807,880,19057,6285,1549,30035,295292,30613715,245451,2092,1662,6619479,43642,56,100643619,990095
"2020-09-16",188927,1190,18961,6303,1461,30345,293743,30368264,182360,2090,1647,6575837,40319,56,99653524,839956
"2020-09-15",187737,1034,18847,6308,1484,30427,292282,30185904,216815,2071,1574,6535518,34778,56,98813568,852734
"2020-09-14",186703,407,18748,6256,912,30225,290798,29969089,198825,2061,1601,6500740,33572,56,97960834,821093
"2020-09-13",186296,392,18692,6232,545,30027,289886,29770264,226347,2056,1654,6467168,34579,56,97139741,792700
"2020-09-12",185904,817,18648,6449,1145,30912,289341,29543917,227638,2051,1721,6432589,41850,56,96347041,1020760
"2020-09-11",185087,1015,18549,6371,1510,31679,288196,29316279,244892,2031,1816,6390739,44698,56,95326281,937575
"2020-09-10",184072,1161,18453,6522,1497,32535,286686,29071387,195629,2008,1923,6346041,37386,56,94388706,821385
"2020-09-09",182911,1088,18323,6659,1918,32670,285189,28875758,193412,1994,1906,6308655,30756,56,93567321,751002
"2020-09-08",181823,347,18189,6541,987,32255,283271,28682346,123290,1975,1870,6277899,22310,56,92816319,546859
"2020-09-07",181476,227,18156,6635,474,32052,282284,28559056,191875,1967,1881,6255589,28117,56,92269460,670866
"2020-09-06",181249,452,18125,6701,499,32428,281810,28367181,206134,1960,1912,6227472,33033,56,91598594,764565
"2020-09-05",180797,926,18089,6758,1173,33626,281311,28161047,218536,1956,1956,6194439,44860,56,90834029,993565
"2020-09-04",179871,999,18012,6922,1249,34177,280138,27942511,256511,1943,1998,6149579,51600,56,89840464,1089037
"2020-09-03",178872,1072,17894,6923,1488,34753,278889,27686000,227081,1928,2038,6097979,44631,56,88751427,909820
"2020-09-02",177800,1035,17788,7091,1521,35661,277401,27458919,211097,1918,2027,6053348,30667,56,87841607,796145
"2020-09-01",176765,1014,17655,7084,1867,35338,275880,27247822,179210,1902,2041,6022681,42242,56,87045462,796530
"2020-08-31",175751,380,17537,7054,710,35476,274013,27068612,180728,1877,2080,5980439,31720,56,86248932,680649
"2020-08-30",175371,477,17439,7268,662,35770,273303,26887884,220804,1870,2057,5948719,38766,56,85568283,823352
"2020-08-29",174894,1017,17401,7413,1299,36516,272641,26667080,257166,1864,2062,5909953,43995,56,84744931,947087
"2020-08-28",173877,1020,17304,7591,1642,37356,271342,26409914,224635,1856,2087,5865958,46115,56,83797844,938465
"2020-08-27",172857,1128,17181,7712,1654,37498,269700,26185279,243599,1831,2128,5819843,44111,56,82859379,857577
"2020-08-26",171729,1300,17046,7742,1804,38515,268046,25941680,216584,1809,2143,5775732,44331,56,82001802,772668
"2020-08-25",170429,1140,16920,7854,1988,38831,266242,25725096,224504,1789,2161,5731401,36839,56,81229134,743872
"2020-08-24",169289,341,16787,7854,1031,38806,264254,25500592,219639,1764,2112,5694562,34543,56,80485262,714951
"2020-08-23",168948,577,16697,7949,698,39064,263223,25280953,128482,1737,2131,5660019,37900,56,79770311,725718
"2020-08-22",168371,1035,16657,8207,1604,40017,262525,25152471,226652,1736,2204,5622119,46033,56,79044593,908182
"2020-08-21",167336,1119,16563,8358,1782,41052,260921,24925819,254673,1730,2288,5576086,46477,56,78136411,915434
"2020-08-20",166217,1129,16487,8486,1983,42109,259139,24671146,208472,1716,2330,5529609,43844,56,77220977,864210
"2020-08-19",165088,1411,16377,8747,1983,43406,257156,24462674,243232,1705,2375,5485765,45073,56,76356767,832115
"2020-08-18",163677,1179,16123,8859,2261,43840,255173,24219442,205817,1695,2467,5440692,40070,56,75524652,771994
"2020-08-17",162498,411,15985,8881,1224,43614,252912,24013625,186974,1678,2444,5400622,37751,56,74752658,702582
"2020-08-16",162087,617,15924,8958,685,44155,251688,23826651,258191,1665,2481,5362871,42503,56,74050076,785200
"2020-08-15",161470,1227,15891,9087,1891,44922,251003,23568460,249608,1663,2526,5320368,56003,56,73264876,893080
"2020-08-14",160243,1226,15768,9277,2141,45868,249112,23318852,308763,1665,2555,5264365,57144,56,72371796,990725
"2020-08-13",159017,1163,15629,9480,2675,47303,246971,23010089,256634,1649,2574,5207221,51763,56,71381071,954412
"2020-08-12",157854,1517,15524,9564,2971,48067,244296,22753455,235552,1629,2602,5155458,56186,56,70426659,813796
"2020-08-11",156337,1320,15331,9135,2624,48600,241325,22517903,230600,1612,2422,5099272,54935,56,69612863,845183
"2020-08-10",155017,430,15158,9209,1554,48751,238701,22287303,210324,1592,2529,5044337,41370,56,68767680,741379
"2020-08-09",154587,621,15081,9307,862,48997,237147,22076979,260584,1578,2507,5002967,50766,56,68026301,803537
"2020-08-08",153966,1086,15024,9662,1493,50071,236285,21816395,191879,1561,2566,4952201,53492,56,67222764,789814
"2020-08-07",152880,1322,14925,9698,7994,51329,234792,21624516,263973,1549,2628,4898709,60837,56,66432950,890426
"2020-08-06",151558,1242,14810,9996,2616,53220,226798,21360543,266841,1534,2714,4837872,54045,56,65542524,848687
"2020-08-05",150316,1354,14687,9988,2117,53432,224182,21093702,232010,1524,2721,4783827,52691,56,64693837,816864
"2020-08-04",148962,1242,14537,10207,4423,53436,222065,20861692,236338,1493,2701,4731136,51205,56,63876973,806693
"2020-08-03",147720,516,14370,10233,1558,53516,217642,20625354,208982,1463,2664,4679931,42743,56,63070280,712084
"2020-08-02",147204,496,14289,10343,832,54108,216084,20416372,252325,1448,2645,4637188,53322,56,62358196,790665
"2020-08-01",146708,1201,14227,10347,2385,54554,215252,20164047,231941,1445,2698,4583866,60640,56,61567531,817592
"2020-07-31",145507,1324,14044,10471,2531,55718,212867,19932106,98958,1437,2701,4523226,67835,56,60749939,988464
"2020-07-30",144183,1250,13877,10549,3293,56570,210336,19833148,261399,1415,2762,4455391,68979,56,59761475,887682
"2020-07-29",142933,1505,13747,10435,2860,57423,207043,19571749,287378,1400,2771,4386412,64156,56,58873793,908697
"2020-07-28",141428,1111,13559,10414,4067,57185,204183,19284371,234128,1372,2748,4322256,58452,56,57965096,842394
"2020-07-27",140317,1066,13413,10183,1632,58987,200116,19050243,243001,1356,2723,4263804,54484,56,57122702,768987
"2020-07-26",139251,561,13343,10424,1380,58731,198484,18807242,290147,1336,2723,4209320,60768,56,56353715,859179
"2020-07-25",138690,1012,13279,10308,1816,59382,197104,18517095,280225,1300,2729,4148552,64788,56,55494536,882389
"2020-07-24",137678,1174,13184,10288,3066,59801,195288,18236870,311767,1297,2709,4083764,75095,56,54612147,1007671
"2020-07-23",136504,1071,12933,10370,2371,59862,192222,17925103,313497,1280,2467,4008669,71426,56,53604476,930658
"2020-07-22",135433,1149,12792,10339,2237,59759,189851,17611606,262481,1258,2444,3937243,69442,56,52673818,900463
"2020-07-21",134284,1043,12632,10046,2555,59479,187614,17349125,240265,1242,2414,3867801,62887,56,51773355,833566
"2020-07-20",133241,376,12475,9832,1563,58521,185059,17108860,247893,1223,2403,3804914,56709,56,50939789,737207
"2020-07-19",132865,526,12393,9581,886,58052,183496,16860967,265500,1216,2362,3748205,64207,56,50202582,789513
"2020-07-18",132339,877,12343,9809,1994,57818,182610,16595467,215087,1211,2343,3683998,64773,56,49413069,869668
"2020-07-17",131462,938,12243,9714,2485,57871,180616,16380380,276023,1200,2352,3619225,76498,56,48543401,943532
"2020-07-16",130524,940,12091,9565,2207,57600,178131,16104357,287728,1175,2314,3542727,70493,56,47599869,948000
